Well name,NS degrees,EW degrees
7325/4-1,73° 38' 57.55'' N,25° 10' 41.74'' E
6407/2-2,64° 59' 39.64'' N,7° 31' 53.08'' E
2/5-5,56° 34' 54.4'' N,3° 25' 49.1'' E
6305/9-1,63° 17' 59.96'' N,5° 59' 14.63'' E
30/9-23,60° 27' 32.76'' N,2° 59' 7.64'' E
30/9-8,60° 25' 26.1'' N,2° 47' 58.38'' E
6607/12-3,66° 9' 37.23'' N,7° 56' 34.01'' E
30/2-2,60° 49' 53.89'' N,2° 39' 51.65'' E
31/5-5,60° 41' 49.66'' N,3° 29' 8.74'' E
30/6-17 A,60° 34' 15.77'' N,2° 44' 59.84'' E
15/12-9 S,58° 4' 40.43'' N,1° 53' 25.75'' E
30/9-10,60° 23' 23.2'' N,2° 47' 13.16'' E
36/7-1,61° 21' 13.49'' N,4° 0' 57.22'' E
1/5-2,56° 34' 41.59'' N,2° 38' 30.53'' E
2/4-17,56° 41' 2.6'' N,3° 13' 45.2'' E
16/2-14,58° 50' 25.97'' N,2° 31' 2.14'' E
24/9-6,59° 29' 1.5'' N,1° 57' 27.14'' E
7/7-3,57° 27' 41.61'' N,2° 16' 20.96'' E
15/6-2 R,58° 32' 47.58'' N,1° 41' 54.09'' E
6506/12-3,65° 1' 31.09'' N,6° 53' 27.35'' E
33/2-2 S,61° 45' 7.58'' N,1° 36' 40.6'' E
7122/2-1,71° 57' 40.28'' N,22° 38' 40.1'' E
30/5-3 A,60° 39' 26.2'' N,2° 39' 33.2'' E
6507/5-6 S,65° 44' 19.36'' N,7° 39' 20.52'' E
30/3-7 B,60° 46' 57.98'' N,2° 53' 51.95'' E
25/10-8,59° 1' 48.48'' N,2° 13' 25.35'' E
7324/2-1,73° 51' 47.9'' N,24° 32' 29.9'' E
34/10-47 A,61° 10' 52.5'' N,2° 3' 11.1'' E
16/2-22 S,58° 55' 33.5'' N,2° 24' 33.2'' E
34/10-45 B,61° 12' 9.93'' N,2° 12' 5.93'' E
16/4-7,58° 31' 37.87'' N,2° 8' 34.4'' E
31/2-10,60° 47' 38.94'' N,3° 29' 39.46'' E
35/3-1,61° 50' 41.89'' N,3° 43' 41.36'' E
1/3-8,56° 52' 7.14'' N,2° 53' 20.75'' E
16/4-1,58° 38' 18.33'' N,2° 8' 17.03'' E
