Well name,NS degrees,EW degrees
7120/1-1,71° 55' 0.83'' N,20° 18' 7.13'' E
6407/4-1,64° 35' 45.36'' N,7° 8' 42.17'' E
6507/6-1,65° 36' 37.59'' N,7° 43' 43.04'' E
2/12-2 S,56° 13' 54.28'' N,3° 42' 16.63'' E
8/3-1,57° 59' 13.16'' N,3° 40' 13.29'' E
35/11-24 B,61° 5' 40.68'' N,3° 23' 59.11'' E
24/9-12 B,59° 20' 58.95'' N,1° 49' 48.47'' E
31/4-10,60° 37' 29.78'' N,3° 11' 16.11'' E
25/9-3,59° 26' 5.03'' N,2° 40' 42.88'' E
2/7-18,56° 20' 18.36'' N,3° 6' 13.61'' E
2/3-2,56° 54' 53.7'' N,3° 49' 2.28'' E
34/10-40 S,61° 12' 10.92'' N,2° 12' 4.86'' E
2/8-18 S,56° 22' 37.58'' N,3° 22' 25.09'' E
6506/12-4,65° 12' 46.97'' N,6° 43' 30.37'' E
31/2-20 S,60° 47' 59.3'' N,3° 26' 57.7'' E
25/6-1,59° 31' 32.04'' N,2° 48' 2.07'' E
9/2-6 S,57° 49' 7.47'' N,4° 31' 10.95'' E
16/1-30 A,58° 58' 50.71'' N,2° 16' 50.88'' E
2/8-8,56° 16' 49.81'' N,3° 24' 12.71'' E
24/12-5 S,59° 6' 41.66'' N,1° 47' 21.25'' E
2/8-12 S,56° 23' 48.8'' N,3° 26' 15.4'' E
7122/7-6,71° 16' 11.44'' N,22° 19' 20.14'' E
2/4-18,56° 41' 57.72'' N,3° 9' 44.24'' E
7/3-1,57° 50' 35.25'' N,2° 44' 55.61'' E
16/1-20 A,58° 54' 24.39'' N,2° 18' 14.14'' E
7/1-1,57° 47' 52'' N,2° 9' 56'' E
8/10-7 S,57° 6' 54.72'' N,3° 3' 31.45'' E
34/10-19,61° 11' 10.86'' N,2° 15' 30.55'' E
30/9-25,60° 20' 6.13'' N,2° 47' 47.63'' E
1/6-2,56° 33' 50.6'' N,2° 51' 53.2'' E
6507/5-8,65° 41' 58.46'' N,7° 32' 23.19'' E
25/2-19 A,59° 52' 28.37'' N,2° 37' 45.61'' E
16/2-20 A,58° 56' 30.84'' N,2° 25' 18.62'' E
30/11-14 B,60° 11' 29.91'' N,2° 35' 11.08'' E
25/2-18 S,59° 49' 30.11'' N,2° 37' 54.1'' E
1/3-3,56° 57' 8.56'' N,2° 58' 54.05'' E
6608/10-4,66° 2' 25.26'' N,8° 9' 41.74'' E
25/4-9 S,59° 40' 20.5'' N,2° 16' 40.71'' E
25/11-5,59° 12' 9.32'' N,2° 21' 55.58'' E
2/4-21,56° 42' 0.81'' N,3° 8' 34.31'' E
30/8-4 S,60° 20' 5.03'' N,2° 36' 9.32'' E
2/4-14 R2,56° 41' 5.26'' N,3° 8' 43.08'' E
2/7-24,56° 18' 33'' N,3° 19' 23.56'' E
6507/3-13 A,65° 59' 26.44'' N,7° 44' 43.02'' E
30/6-21,60° 38' 34.88'' N,2° 43' 47.6'' E
6507/5-2,65° 42' 59.1'' N,7° 38' 18.83'' E
15/12-11 S,58° 12' 9.78'' N,1° 42' 39.38'' E
6607/12-1,66° 12' 54.15'' N,7° 44' 26.72'' E
7/11-7 R,57° 4' 10.04'' N,2° 26' 4.82'' E
25/1-10,59° 57' 8.58'' N,2° 5' 48.11'' E
30/6-27,60° 33' 28.85'' N,2° 40' 45.6'' E
1/3-7,56° 56' 25.15'' N,2° 40' 34.61'' E
25/8-6,59° 28' 18.42'' N,2° 20' 15.37'' E
30/2-1,60° 52' 5.42'' N,2° 38' 49.16'' E
35/8-5 S,61° 22' 40.5'' N,3° 39' 13.22'' E
15/9-20 S,58° 22' 1.89'' N,1° 54' 31.98'' E
30/6-31 S,60° 33' 12.9'' N,2° 52' 12.27'' E
30/11-7 A,60° 0' 21.24'' N,2° 22' 25.62'' E
25/2-21,59° 52' 27.11'' N,2° 27' 30.88'' E
6506/9-1,65° 29' 57.31'' N,6° 56' 12.98'' E
30/6-14,60° 38' 7.69'' N,2° 59' 21.76'' E
6608/10-6 R,66° 3' 55.95'' N,8° 15' 26.07'' E
7220/5-2,72° 33' 40.29'' N,20° 23' 54.84'' E
34/5-1 S,61° 44' 35.19'' N,2° 35' 55.37'' E
1/6-1,56° 38' 2.4'' N,2° 59' 50.3'' E
25/2-6,59° 45' 33.55'' N,2° 33' 5.96'' E
6507/5-10 S,65° 31' 21.7'' N,7° 29' 21.91'' E
25/4-12 S,59° 30' 39.22'' N,2° 4' 27.28'' E
31/7-3 A,60° 26' 42.61'' N,3° 3' 13.72'' E
7/7-1,57° 24' 56.88'' N,2° 15' 59.74'' E
6506/12-9 S,65° 6' 52.02'' N,6° 45' 15.7'' E
6507/3-3 A,65° 48' 3.73'' N,7° 43' 28.69'' E
24/9-15 A,59° 20' 29.04'' N,1° 49' 55.35'' E
34/3-3 S,61° 47' 42.49'' N,2° 43' 4.38'' E
6507/3-11 S,65° 48' 59.56'' N,7° 50' 13.93'' E
6507/8-9,65° 24' 1.04'' N,7° 26' 21.71'' E
34/7-13,61° 24' 19.23'' N,2° 3' 12.49'' E
34/8-15 S,61° 26' 6.1'' N,2° 35' 20.84'' E
25/4-7,59° 32' 52.06'' N,2° 1' 10.91'' E
2/4-21 A,56° 42' 0.81'' N,3° 8' 34.31'' E
31/1-2 A,60° 57' 4.92'' N,3° 18' 32.98'' E
6508/1-1 A,65° 57' 57.03'' N,8° 3' 15.03'' E
16/2-13 S,58° 49' 58.48'' N,2° 39' 10.34'' E
2/2-2,56° 56' 40.61'' N,3° 22' 46.81'' E
35/9-10 S,61° 15' 7.02'' N,3° 41' 4.1'' E
15/6-15,58° 40' 35.66'' N,1° 52' 21.58'' E
35/12-6 A,61° 13' 45.08'' N,3° 45' 25.28'' E
8/4-1,57° 44' 50.24'' N,3° 0' 3.86'' E
16/3-4 A,58° 48' 11.36'' N,2° 43' 8.3'' E
18/11-1,58° 4' 21.3'' N,4° 32' 0.1'' E
24/9-8,59° 21' 59.99'' N,1° 57' 17.97'' E
6507/11-9,65° 9' 7.8'' N,7° 25' 10.6'' E
34/11-2 S,61° 13' 33.24'' N,2° 22' 56.81'' E
2/2-4,56° 47' 40.88'' N,3° 39' 34.46'' E
1/2-2,56° 59' 32'' N,2° 29' 47.66'' E
34/7-4,61° 29' 4.44'' N,2° 8' 0.26'' E
34/10-33 C,61° 7' 34.44'' N,2° 12' 57.1'' E
2/7-28,56° 22' 52.16'' N,3° 14' 19.29'' E
6609/10-1,66° 14' 42.27'' N,9° 14' 59.5'' E
16/1-15,58° 52' 23.82'' N,2° 15' 41.3'' E
31/2-22 S,60° 58' 48.13'' N,3° 30' 17.16'' E
7/12-10,57° 10' 57.37'' N,2° 48' 18.47'' E
31/4-7,60° 34' 8.21'' N,3° 1' 5.82'' E
35/11-10 A,61° 1' 10.54'' N,3° 31' 26.29'' E
16/7-5,58° 21' 6.3'' N,2° 4' 56.16'' E
31/4-12,60° 35' 45.4'' N,3° 9' 51.96'' E
7121/1-1 R,71° 56' 25.74'' N,21° 4' 36.52'' E
16/1-6 A,58° 59' 27.95'' N,2° 17' 43.07'' E
17/12-1,58° 11' 17.3'' N,3° 56' 22.2'' E
30/10-6,60° 9' 13.65'' N,2° 12' 37.38'' E
2/10-1 S,56° 7' 32.15'' N,3° 18' 6.68'' E
7120/2-2,71° 50' 23.99'' N,20° 36' 3.59'' E
15/6-5,58° 30' 29.87'' N,1° 45' 50.74'' E
34/4-14 S,61° 40' 51.05'' N,2° 7' 19.42'' E
6407/8-3,64° 18' 2'' N,7° 37' 41.6'' E
16/2-20 S,58° 56' 30.84'' N,2° 25' 18.62'' E
8/12-1,57° 13' 18.6'' N,3° 46' 45.13'' E
6204/10-2,62° 2' 41.24'' N,4° 7' 4.59'' E
7120/7-3,71° 27' 43.31'' N,20° 10' 46.44'' E
2/11-3 A,56° 10' 53.74'' N,3° 27' 51.78'' E
35/11-12,61° 7' 43.53'' N,3° 22' 53.66'' E
16/7-11,58° 22' 52.95'' N,2° 4' 5.04'' E
25/5-2,59° 42' 13.28'' N,2° 32' 8.58'' E
6506/12-12 A,65° 13' 1.19'' N,6° 54' 29.77'' E
7228/1-1,72° 51' 0.92'' N,28° 18' 55.19'' E
33/12-5,61° 11' 5.53'' N,1° 51' 53.39'' E
15/12-3,58° 14' 36.59'' N,1° 52' 45.67'' E
6407/2-1,64° 58' 4.97'' N,7° 28' 28.12'' E
6608/10-6 R2,66° 3' 55.95'' N,8° 15' 26.07'' E
7/4-3,57° 42' 16.54'' N,2° 12' 15.81'' E
25/7-2,59° 16' 28.59'' N,2° 12' 26.09'' E
6607/5-1,66° 38' 9.67'' N,7° 32' 21.38'' E
17/4-1,58° 35' 54'' N,3° 16' 5'' E
34/10-47 S,61° 10' 52.5'' N,2° 3' 11.1'' E
6407/12-1,64° 14' 23.44'' N,7° 42' 7.98'' E
25/11-29 S,59° 2' 48.47'' N,2° 26' 21.81'' E
15/9-5,58° 24' 12.47'' N,1° 42' 29.2'' E
34/4-12 A,61° 33' 8'' N,2° 17' 37.7'' E
7119/9-1,71° 24' 53.19'' N,19° 49' 43.26'' E
34/8-16 S,61° 21' 48.9'' N,2° 36' 15.58'' E
2/4-14,56° 41' 5.26'' N,3° 8' 43.08'' E
6506/12-6,65° 9' 57.6'' N,6° 46' 43.19'' E
6507/11-11,65° 14' 15.9'' N,7° 30' 39.4'' E
15/12-18 S,58° 12' 53.07'' N,1° 46' 40.43'' E
30/7-6 R,60° 29' 29.82'' N,2° 3' 26.14'' E
30/7-2,60° 29' 26.06'' N,2° 1' 40.85'' E
31/2-21 S,60° 58' 16.97'' N,3° 28' 1.74'' E
7/11-11 S,57° 7' 34.87'' N,2° 28' 58.68'' E
25/8-11,59° 18' 7'' N,2° 26' 51'' E
2/6-2,56° 30' 48.9'' N,3° 42' 39.66'' E
7321/4-1,73° 44' 7.76'' N,21° 8' 21.94'' E
30/6-19 R,60° 42' 58.03'' N,2° 54' 54.18'' E
6504/5-1 S,65° 41' 38.46'' N,4° 22' 43.92'' E
34/10-1,61° 10' 46.84'' N,2° 12' 43.67'' E
2/1-13 S,56° 47' 9.5'' N,3° 2' 29.72'' E
6406/3-5,64° 58' 20.07'' N,6° 58' 33.65'' E
25/11-3,59° 10' 33.89'' N,2° 26' 15.39'' E
6604/5-1,66° 35' 37.43'' N,4° 32' 56.55'' E
6407/9-9,64° 24' 13.2'' N,7° 41' 37.1'' E
25/10-12 S,59° 2' 36.72'' N,2° 18' 13.11'' E
34/10-28,61° 6' 31.99'' N,2° 15' 23.72'' E
2/8-3,56° 18' 31'' N,3° 26' 54.1'' E
7/7-2,57° 29' 4.16'' N,2° 18' 17.59'' E
6507/5-4,65° 41' 44.78'' N,7° 34' 13.62'' E
6608/8-2,66° 17' 52.58'' N,8° 22' 37.01'' E
31/5-2 R,60° 43' 33.29'' N,3° 32' 52.74'' E
7120/10-1,71° 3' 6.25'' N,20° 16' 29.8'' E
2/4-5,56° 34' 27.24'' N,3° 12' 11.82'' E
30/12-1,60° 8' 44.3'' N,2° 51' 6.54'' E
34/8-14 B,61° 18' 37.9'' N,2° 20' 32.9'' E
25/10-1,59° 11' 21.72'' N,2° 19' 11.83'' E
31/2-2 R,60° 46' 47.8'' N,3° 37' 23.5'' E
9/2-12,57° 52' 28.95'' N,4° 33' 11.62'' E
16/1-2,58° 56' 9.22'' N,2° 13' 20.06'' E
35/6-1 S,61° 32' 2.92'' N,3° 54' 40.82'' E
2/11-7,56° 14' 6.09'' N,3° 37' 38.84'' E
25/11-12,59° 12' 2.61'' N,2° 22' 51.74'' E
16/8-3 S,58° 17' 43.4'' N,2° 34' 54.5'' E
16/3-5,58° 46' 31.59'' N,2° 42' 18.59'' E
15/12-23 A,58° 13' 0.78'' N,1° 53' 3.87'' E
7121/7-1,71° 28' 20.78'' N,21° 5' 15.18'' E
35/11-20 A,61° 13' 20.29'' N,3° 26' 25.57'' E
6507/8-10 S,65° 18' 10.4'' N,7° 31' 13.39'' E
33/12-4,61° 14' 19.2'' N,1° 53' 27.5'' E
16/2-17 B,58° 48' 15.92'' N,2° 31' 46.03'' E
15/6-7,58° 35' 21.41'' N,1° 52' 19.06'' E
35/9-9,61° 24' 12.72'' N,3° 56' 0.48'' E
2/11-5,56° 9' 57.7'' N,3° 26' 6.42'' E
34/4-5,61° 41' 9.49'' N,2° 17' 52'' E
31/7-1,60° 25' 31.55'' N,3° 1' 28.23'' E
30/9-12 AR,60° 25' 57.09'' N,2° 51' 34.9'' E
6406/6-4 S,64° 38' 30.7'' N,6° 46' 1.96'' E
6305/4-2 S,63° 38' 14.9'' N,5° 17' 54.12'' E
6506/11-4 S,65° 1' 46.19'' N,6° 36' 4.48'' E
6507/12-3,65° 3' 35.82'' N,7° 49' 6.4'' E
25/1-6,59° 46' 57.68'' N,2° 5' 42.23'' E
35/11-10,61° 1' 10.54'' N,3° 31' 26.29'' E
7/12-7,57° 6' 31.92'' N,2° 52' 47.27'' E
2/8-16 S,56° 16' 40.75'' N,3° 23' 43.61'' E
3/7-1,56° 27' 43.5'' N,4° 0' 7.8'' E
7219/9-2,72° 19' 44.14'' N,19° 54' 39.8'' E
7117/9-1,71° 22' 51.05'' N,17° 56' 5.76'' E
34/10-37 AR,61° 8' 9.78'' N,2° 0' 55.81'' E
6507/7-6,65° 21' 30.03'' N,7° 19' 10.35'' E
15/12-8 A,58° 3' 1.85'' N,1° 58' 3.41'' E
16/1-28 S,58° 48' 51.49'' N,2° 16' 14.2'' E
35/9-11 A,61° 21' 25.6'' N,3° 40' 44.55'' E
6507/7-3,65° 19' 1.31'' N,7° 17' 44.79'' E
6507/8-5,65° 20' 36.75'' N,7° 38' 4.7'' E
2/7-19,56° 20' 19.1'' N,3° 6' 12.2'' E
3/7-3,56° 24' 54.77'' N,4° 10' 54.33'' E
6407/7-2 R,64° 15' 26.39'' N,7° 10' 42.65'' E
34/7-15 S,61° 24' 38.59'' N,2° 12' 53.22'' E
7227/10-1,72° 9' 48.74'' N,27° 14' 18.15'' E
7318/12-1,73° 7' 46.84'' N,18° 43' 4.26'' E
7121/5-2,71° 40' 20.79'' N,21° 39' 24.42'' E
6201/11-3 R,62° 2' 44.96'' N,1° 30' 13.07'' E
30/9-15,60° 22' 18.63'' N,2° 55' 24.8'' E
31/6-1,60° 38' 44.89'' N,3° 40' 52.28'' E
30/11-8 A,60° 13' 3.03'' N,2° 29' 22.2'' E
9/4-5,57° 40' 38.81'' N,4° 16' 8.37'' E
6407/10-3,64° 6' 11.66'' N,7° 18' 11.43'' E
25/4-5,59° 34' 4.75'' N,2° 11' 39.21'' E
31/2-15,60° 55' 25.45'' N,3° 34' 2.57'' E
6407/1-6 S,64° 56' 25.66'' N,7° 8' 36.8'' E
15/5-3,58° 43' 47.93'' N,1° 38' 12.05'' E
33/12-10 S,61° 7' 7.83'' N,1° 56' 28.67'' E
30/9-17 R,60° 17' 39.08'' N,2° 49' 19.44'' E
35/4-1,61° 32' 0.55'' N,3° 18' 8.26'' E
35/2-1 R,61° 53' 26.68'' N,3° 20' 34.36'' E
6407/8-2,64° 17' 0.63'' N,7° 31' 25.28'' E
30/3-7 A,60° 46' 57.98'' N,2° 53' 51.95'' E
34/6-3 S,61° 34' 29.55'' N,2° 43' 48.69'' E
6407/10-2,64° 13' 44.34'' N,7° 16' 54.02'' E
6204/10-2 A,62° 2' 41.24'' N,4° 7' 4.59'' E
6407/7-2,64° 15' 26.39'' N,7° 10' 42.65'' E
25/8-13,59° 21' 42.3'' N,2° 21' 48.1'' E
6406/6-6 A,64° 35' 47.57'' N,6° 51' 14.34'' E
33/12-3,61° 14' 19.64'' N,1° 53' 25.8'' E
6307/1-1 S,63° 55' 15.83'' N,7° 18' 10.11'' E
34/10-49 S,61° 7' 45.06'' N,2° 5' 26.13'' E
25/9-2 A,59° 22' 56.26'' N,2° 41' 46.89'' E
35/9-5,61° 19' 28.9'' N,3° 48' 45.19'' E
33/9-9,61° 17' 10.19'' N,1° 54' 26.05'' E
6506/12-10 A,65° 8' 7.82'' N,6° 49' 6.47'' E
36/1-3,61° 48' 13.85'' N,4° 6' 53.47'' E
35/9-3,61° 28' 51.76'' N,3° 58' 30.17'' E
6706/6-1,67° 33' 34.79'' N,6° 41' 18.38'' E
24/9-14 A,59° 21' 51.91'' N,1° 46' 52.29'' E
25/5-8,59° 37' 6'' N,2° 23' 44'' E
16/1-30 S,58° 58' 50.71'' N,2° 16' 50.88'' E
25/6-6 S,59° 30' 35.21'' N,2° 54' 50.76'' E
7121/9-1,71° 15' 13.94'' N,21° 42' 41.75'' E
6608/10-16,66° 8' 38.09'' N,8° 4' 0.71'' E
31/4-6,60° 31' 16.6'' N,3° 1' 57.7'' E
7221/12-1,72° 8' 18.68'' N,21° 55' 50.32'' E
30/10-1,60° 0' 20.37'' N,2° 4' 7.17'' E
6306/6-2,63° 41' 4.96'' N,6° 40' 16.22'' E
6406/12-3 S,64° 1' 52.32'' N,6° 45' 17.58'' E
34/10-10 R,61° 10' 27.95'' N,2° 14' 43.12'' E
1/3-5,56° 46' 16.02'' N,2° 53' 38.85'' E
7/12-11,57° 7' 10.71'' N,2° 58' 33.19'' E
34/10-33,61° 7' 34.44'' N,2° 12' 57.1'' E
6507/2-4,65° 56' 27.42'' N,7° 35' 38.18'' E
7120/1-5,71° 56' 16'' N,20° 14' 58.18'' E
34/4-7,61° 31' 9.83'' N,2° 15' 15.45'' E
30/9-26 S,60° 27' 24.8'' N,2° 41' 42.58'' E
16/1-25 S,58° 46' 57.1'' N,2° 15' 17.46'' E
25/11-18,59° 9' 8.45'' N,2° 28' 28.79'' E
7224/7-1,72° 17' 6.34'' N,24° 18' 2.98'' E
35/4-2,61° 36' 2.54'' N,3° 12' 19.21'' E
34/10-7,61° 12' 13.44'' N,2° 16' 28.56'' E
25/10-3,59° 12' 56.5'' N,2° 19' 41.73'' E
2/2-3,56° 47' 36.42'' N,3° 25' 38.14'' E
30/11-1,60° 0' 22.43'' N,2° 31' 16.2'' E
35/11-5,61° 4' 45.58'' N,3° 23' 53.49'' E
25/1-9,59° 50' 13.34'' N,2° 13' 30.24'' E
25/10-15 S,59° 5' 14.45'' N,2° 14' 13.69'' E
33/9-13 S,61° 27' 4.45'' N,1° 58' 3'' E
25/8-12 S,59° 17' 22.57'' N,2° 26' 39.45'' E
6507/2-3,65° 51' 59.9'' N,7° 39' 58.88'' E
33/9-17,61° 27' 18.58'' N,1° 50' 45.79'' E
35/12-2,61° 9' 59.72'' N,3° 40' 13.35'' E
30/11-13,60° 9' 55.99'' N,2° 35' 35.11'' E
15/9-16,58° 22' 9.97'' N,1° 52' 43.16'' E
35/11-9,61° 3' 54.23'' N,3° 30' 6.95'' E
6407/6-2,64° 42' 29.56'' N,7° 40' 32.59'' E
3/7-8 S,56° 23' 10.62'' N,4° 13' 59.97'' E
6407/12-2,64° 9' 40.44'' N,7° 48' 27.87'' E
6508/1-2,65° 55' 50.28'' N,8° 1' 52.78'' E
30/9-19,60° 27' 35.38'' N,2° 41' 38.94'' E
7119/12-1,71° 6' 8'' N,19° 47' 40.29'' E
7122/7-3,71° 15' 17.53'' N,22° 16' 4.6'' E
33/12-8 S,61° 4' 38.44'' N,1° 57' 56.22'' E
16/5-4,58° 42' 46.98'' N,2° 35' 55.7'' E
7/11-10 SR,57° 7' 12.51'' N,2° 29' 10.56'' E
17/12-4 B,58° 10' 37.58'' N,3° 55' 11.05'' E
1/5-1,56° 34' 40.5'' N,2° 38' 28'' E
34/4-6,61° 34' 14.09'' N,2° 13' 19.99'' E
6506/6-2,65° 38' 17.77'' N,6° 51' 56.5'' E
1/5-4 S,56° 42' 32'' N,2° 37' 41'' E
6604/5-2 A,66° 36' 33.48'' N,4° 35' 34.3'' E
6506/5-1 S,65° 31' 26.27'' N,6° 36' 31.3'' E
25/8-12 A,59° 17' 22.57'' N,2° 26' 39.45'' E
6406/2-6 R,64° 45' 31.34'' N,6° 22' 54.69'' E
1/5-5,56° 43' 48.02'' N,2° 38' 44.92'' E
34/10-30,61° 6' 31.07'' N,2° 15' 23.92'' E
1/3-9 S,56° 58' 57.97'' N,2° 57' 31.33'' E
34/11-6 S,61° 2' 26.72'' N,2° 20' 19.68'' E
35/12-4 S,61° 11' 6.76'' N,3° 41' 29.4'' E
15/8-2,58° 24' 55.1'' N,1° 32' 49.9'' E
7219/12-2 S,72° 5' 12.66'' N,19° 59' 10.01'' E
34/7-6,61° 27' 10.85'' N,2° 8' 17.26'' E
9/2-1,57° 49' 58.1'' N,4° 31' 27.92'' E
6507/5-4 A,65° 41' 44.78'' N,7° 34' 13.62'' E
16/2-1,58° 53' 35.19'' N,2° 21' 25.77'' E
6507/3-12,65° 58' 3.95'' N,7° 56' 1.53'' E
34/7-8,61° 22' 25.93'' N,2° 8' 33.37'' E
7220/6-3,72° 43' 41.13'' N,20° 50' 54.64'' E
6407/10-1,64° 13' 40.66'' N,7° 11' 29.81'' E
30/5-2,60° 30' 16.3'' N,2° 38' 12.71'' E
6507/5-5,65° 42' 8.01'' N,7° 35' 45.36'' E
31/5-4 A,60° 43' 16.19'' N,3° 33' 43.06'' E
2/7-17,56° 20' 13'' N,3° 6' 4'' E
34/7-19,61° 23' 38.96'' N,2° 5' 31.46'' E
34/7-21 A,61° 17' 36.84'' N,2° 4' 21.14'' E
25/11-14 S,59° 11' 17.31'' N,2° 22' 11.64'' E
34/8-9 S,61° 18' 50.53'' N,2° 23' 17.89'' E
34/8-12 S,61° 16' 4.9'' N,2° 20' 31.95'' E
31/2-18,60° 54' 10.49'' N,3° 34' 41.79'' E
7316/5-1,73° 31' 11.89'' N,16° 25' 59.7'' E
6407/1-4,64° 51' 46.05'' N,7° 1' 21.25'' E
34/7-10,61° 25' 2.64'' N,2° 7' 36.23'' E
33/9-15,61° 24' 24.67'' N,1° 57' 15.76'' E
6507/7-13,65° 24' 4.53'' N,7° 19' 49.2'' E
36/7-3,61° 25' 33.12'' N,4° 2' 59.61'' E
16/1-5,58° 47' 53.52'' N,2° 9' 12.14'' E
24/6-3,59° 34' 44.57'' N,1° 54' 47.45'' E
2/4-12,56° 31' 26.6'' N,3° 8' 35.9'' E
2/7-2,56° 16' 0.85'' N,3° 9' 9.04'' E
6406/6-4,64° 38' 31.63'' N,6° 46' 2.72'' E
2/4-16 R,56° 40' 37.23'' N,3° 9' 2.07'' E
6508/1-3,65° 58' 25.75'' N,8° 9' 49.92'' E
6406/6-5 S,64° 35' 47.28'' N,6° 51' 15.27'' E
24/9-7 B,59° 28' 42.6'' N,1° 57' 44.49'' E
2/1-6,56° 55' 14.81'' N,3° 1' 38.37'' E
6507/3-2,65° 45' 25.29'' N,7° 55' 18.79'' E
2/9-2,56° 20' 56.66'' N,3° 56' 0.7'' E
6506/11-5 S,65° 5' 17.5'' N,6° 39' 44'' E
2/4-7,56° 38' 5.4'' N,3° 16' 45.3'' E
6507/3-8,65° 59' 28.3'' N,7° 59' 27.6'' E
16/3-3,58° 49' 44.79'' N,2° 58' 21.84'' E
16/4-2,58° 35' 47.17'' N,2° 1' 48.03'' E
6407/9-8,64° 23' 7.69'' N,7° 57' 37.47'' E
29/3-1,60° 57' 50.24'' N,1° 56' 13.25'' E
33/9-20 S,61° 23' 48.26'' N,1° 44' 27.25'' E
30/6-3,60° 34' 52.98'' N,2° 47' 1.41'' E
16/1-18,58° 50' 28.11'' N,2° 17' 21.97'' E
2/8-4,56° 17' 53.8'' N,3° 20' 38.06'' E
34/7-34,61° 23' 22.5'' N,2° 8' 32.3'' E
6407/8-4 A,64° 26' 47.8'' N,7° 38' 54.2'' E
16/2-15,58° 47' 0.09'' N,2° 33' 34.49'' E
6610/7-2,66° 27' 49.61'' N,10° 10' 10.92'' E
7222/6-1 S,72° 37' 25.01'' N,22° 55' 51.4'' E
24/9-9 B,59° 19' 40.49'' N,1° 50' 17.27'' E
16/4-3,58° 42' 18.51'' N,2° 3' 51.45'' E
1/3-1,56° 51' 21'' N,2° 51' 5'' E
30/11-3,60° 2' 38.59'' N,2° 32' 15.47'' E
30/5-1,60° 31' 49.6'' N,2° 22' 11.7'' E
7321/9-1,73° 16' 7.34'' N,21° 41' 0.68'' E
2/9-1,56° 22' 11.88'' N,3° 39' 59.77'' E
17/10-1,58° 1' 54'' N,3° 9' 58'' E
3/7-6,56° 25' 49.44'' N,4° 18' 2.98'' E
2/11-9,56° 8' 49.19'' N,3° 27' 15.34'' E
7228/2-1 S,72° 51' 9.75'' N,28° 26' 29.61'' E
25/10-2 R,59° 9' 39.27'' N,2° 11' 35.88'' E
6507/11-8,65° 6' 41.74'' N,7° 30' 33.21'' E
9/2-5,57° 45' 15.3'' N,4° 21' 21.16'' E
31/2-5 R,60° 46' 16.2'' N,3° 25' 53.46'' E
34/10-10,61° 10' 27.95'' N,2° 14' 43.12'' E
6407/6-2 R2,64° 42' 29.56'' N,7° 40' 32.59'' E
34/6-4,61° 38' 46.65'' N,2° 49' 29.17'' E
34/10-41 S,61° 13' 54.34'' N,2° 5' 42.3'' E
6507/8-8,65° 16' 52.5'' N,7° 25' 27.66'' E
9/11-1,57° 0' 41.4'' N,4° 31' 40.6'' E
15/3-6,58° 46' 23.41'' N,1° 45' 14.9'' E
34/8-3,61° 24' 28.04'' N,2° 32' 45.06'' E
35/3-5,61° 47' 46.71'' N,3° 54' 44.01'' E
33/9-18,61° 15' 40.78'' N,1° 56' 7.73'' E
34/5-1 A,61° 44' 35.19'' N,2° 35' 55.37'' E
35/8-7 S,61° 16' 8.62'' N,3° 30' 23.14'' E
2/3-3,56° 48' 18.9'' N,3° 58' 11.5'' E
2/5-9,56° 32' 7.18'' N,3° 33' 13.43'' E
24/12-1 R,59° 2' 29.8'' N,1° 52' 57.93'' E
15/5-5,58° 43' 3.4'' N,1° 38' 39.41'' E
15/3-3,58° 52' 31.25'' N,1° 46' 46.24'' E
15/3-4,58° 49' 5.28'' N,1° 52' 59.82'' E
17/12-3,58° 11' 32.84'' N,3° 51' 44.06'' E
34/6-3 A,61° 34' 29.55'' N,2° 43' 48.69'' E
15/12-17 S,58° 1' 42.68'' N,1° 55' 23.46'' E
35/11-6,61° 11' 45.82'' N,3° 27' 55.46'' E
10/8-1,57° 25' 0.01'' N,5° 34' 21.71'' E
24/9-4,59° 23' 21.95'' N,1° 47' 20.29'' E
34/2-5 S,61° 45' 34'' N,2° 35' 9.34'' E
34/10-29,61° 10' 33.06'' N,2° 11' 28.76'' E
26/4-2,59° 44' 22.02'' N,3° 6' 3.67'' E
2/4-20,56° 36' 43.17'' N,3° 8' 40.08'' E
25/10-4 R,59° 11' 25.53'' N,2° 19' 49.62'' E
15/6-11 S,58° 34' 8.62'' N,1° 42' 10.61'' E
6201/11-2,62° 1' 7.62'' N,1° 25' 16.78'' E
24/9-7 C,59° 28' 42.6'' N,1° 57' 44.49'' E
34/10-3 R,61° 12' 49.48'' N,2° 11' 55.03'' E
34/10-3,61° 12' 49.48'' N,2° 11' 55.03'' E
35/6-2 S,61° 32' 0.98'' N,3° 54' 40.72'' E
6608/10-14 S,66° 8' 58.46'' N,8° 14' 45.76'' E
2/8-9,56° 17' 49.3'' N,3° 23' 4'' E
2/7-4,56° 27' 52.03'' N,3° 6' 12'' E
33/9-7,61° 20' 12.17'' N,1° 59' 12.66'' E
6407/8-5 A,64° 20' 56.6'' N,7° 33' 44.3'' E
6407/2-6 S,64° 46' 17.2'' N,7° 36' 19'' E
25/11-1,59° 10' 57.35'' N,2° 24' 24.89'' E
7/8-3,57° 15' 30.58'' N,2° 32' 45.78'' E
34/4-2,61° 30' 30.93'' N,2° 4' 17.04'' E
11/9-1,57° 16' 33.2'' N,6° 44' 52.6'' E
4/4-1,56° 38' 8.65'' N,5° 8' 11.53'' E
